3	17	19	25	40	46
13	29	32	34	38	47
10	16	19	20	35	44
7	8	14	19	24	44
2	7	22	29	42	46
5	17	27	33	43	45
2	19	22	24	29	31
14	37	38	40	46	49
6	12	13	27	34	41
3	12	15	30	39	43
1	6	8	16	19	40
8	18	19	28	36	38
3	5	15	39	44	49
5	7	11	15	24	47
7	16	29	30	33	43
16	25	26	32	33	45
20	27	28	33	40	44
3	8	15	19	23	41
17	19	43	45	48	49
10	16	32	33	38	48
2	4	6	7	32	41
6	10	14	20	31	46
13	33	37	40	46	48
4	5	10	17	26	28
15	16	18	26	39	44
5	8	12	13	34	49
2	5	9	19	24	25
5	15	21	25	28	47
6	8	15	16	22	32
10	13	14	28	44	49
6	11	15	31	42	45
1	16	20	21	25	45
1	10	19	22	26	28
7	15	16	24	37	43
7	20	21	27	29	34
4	7	10	18	31	35
1	8	11	17	47	49
3	8	10	27	29	40
4	7	10	15	43	46
11	14	16	31	36	43
19	20	27	30	41	47
3	5	13	21	22	31
6	9	21	34	36	49
8	21	27	37	40	41
6	23	25	33	34	43
13	21	23	30	41	44
2	5	15	20	39	44
3	5	16	39	48	49
11	18	24	25	41	46
6	9	11	12	24	33
7	12	15	16	19	23
7	22	25	27	43	48
2	17	19	29	39	48
6	12	22	34	46	49
9	14	18	19	30	40
1	3	5	6	30	41
1	4	8	24	26	39
8	10	11	19	31	47
3	8	14	22	23	45
7	8	18	38	39	48
17	25	30	33	38	49
1	12	15	26	33	49
2	8	25	32	40	47
2	8	23	29	31	43
5	9	10	18	20	49
4	10	15	27	32	47
13	17	19	24	29	45
5	6	9	20	33	46
11	19	21	29	35	36
1	22	25	28	37	44
1	5	11	23	29	49
1	7	17	22	41	49
5	14	31	35	44	47
10	14	15	35	39	45
9	10	16	44	45	46
2	23	34	35	44	46
3	8	17	38	40	43
5	7	14	25	38	45
2	5	15	25	26	41
1	2	18	34	42	44
10	13	22	23	42	47
4	5	6	10	15	21
1	15	21	37	42	43
12	13	21	23	31	46
1	4	24	25	34	48
1	18	24	27	37	47
18	22	25	26	36	48
2	4	18	19	20	46
9	10	18	19	36	37
5	23	29	34	36	40
1	12	16	24	31	48
4	11	14	23	24	48
1	3	18	30	31	41
7	8	11	21	30	46
1	9	10	23	24	27
1	5	13	36	44	46
4	10	25	29	40	48
5	19	21	27	32	46
3	6	10	12	34	47
1	4	15	16	44	45
5	6	11	31	35	42
7	23	26	38	40	43
14	21	32	37	38	44
5	8	11	40	44	45
11	12	13	37	38	39
1	2	17	19	22	48
3	5	11	13	15	40
1	2	32	41	43	44
10	11	16	17	18	30
8	19	29	35	41	49
10	11	19	33	37	38
2	7	17	32	43	45
2	7	12	23	36	43
1	6	20	22	24	40
16	20	23	34	40	47
2	5	9	16	41	48
6	14	20	25	26	27
4	8	16	22	28	33
5	8	15	37	38	44
10	13	20	25	33	48
5	7	20	21	33	43
6	8	12	22	27	47
6	19	25	26	32	33
1	8	23	29	35	38
8	31	41	43	44	48
11	16	28	40	41	45
9	22	24	35	46	49
1	3	7	13	19	44
6	10	23	39	45	49
1	12	19	20	36	48
3	15	18	26	39	40
1	2	8	10	29	37
5	18	22	27	38	48
16	24	31	40	44	46
4	20	21	34	35	45
8	14	18	25	28	48
6	8	10	24	33	42
1	20	24	33	38	39
3	15	20	34	35	43
2	4	10	18	27	37
6	11	17	24	25	44
13	14	20	25	35	47
8	16	29	32	38	46
9	15	23	28	41	44
6	17	19	33	36	49
2	32	36	38	39	44
14	21	24	27	42	49
5	11	18	34	38	41
1	2	7	11	14	40
6	13	29	35	38	48
14	20	36	38	41	43
2	11	17	20	36	42
16	18	21	25	40	49
20	25	31	33	38	43
5	18	33	35	42	43
4	25	36	39	43	47
1	4	11	17	27	35
9	31	33	42	45	49
3	6	8	11	47	48
12	17	20	21	43	46
2	9	17	22	23	36
5	19	31	34	43	47
4	10	11	16	27	49
1	5	7	32	36	41
4	11	17	19	25	30
9	13	29	34	39	49
11	15	28	35	39	42
11	22	24	27	30	46
13	18	26	29	42	47
5	18	22	25	31	44
9	12	17	24	41	43
4	15	22	39	46	48
6	11	18	21	35	49
13	19	22	28	31	34
7	23	24	41	47	49
14	19	22	29	46	47
2	5	18	33	45	47
3	7	11	22	27	42
2	10	24	31	41	49
13	16	31	37	39	49
17	22	24	39	48	49
3	16	23	33	41	47
2	8	24	31	43	46
2	3	11	25	27	35
7	13	17	37	42	44
17	22	33	36	41	47
4	13	14	20	27	35
6	19	20	25	42	48
4	16	20	31	34	38
14	25	27	32	36	45
2	11	13	19	20	43
12	13	35	45	46	48
5	33	38	42	43	47
1	12	20	33	40	41
5	11	24	26	28	36
2	7	10	18	31	42
1	4	16	25	28	47
17	18	20	29	38	44
9	28	31	33	40	44
7	11	32	39	45	46
6	15	17	21	25	41
1	2	11	17	37	44
1	7	16	19	26	31
4	7	11	33	38	39
5	9	12	17	31	38
4	23	36	42	44	45
2	12	22	32	40	45
8	17	27	36	47	49
3	26	29	31	33	48
13	24	27	30	43	44
5	7	15	23	33	37
12	14	16	23	37	47
18	24	34	44	46	48
16	24	26	31	34	43
3	8	17	28	38	42
9	11	28	29	35	36
27	28	29	34	36	42
10	14	17	22	31	34
5	9	29	38	42	44
12	30	39	44	45	46
2	6	9	28	33	45
3	15	18	30	39	41
1	8	10	16	18	35
2	3	34	40	42	44
1	13	17	22	23	35
5	16	17	21	23	35
1	23	27	39	40	45
5	9	24	29	35	36
8	19	29	40	47	48
3	10	26	29	30	42
19	22	27	40	45	46
2	37	39	42	45	48
1	8	31	34	43	45
13	19	21	34	42	48
10	11	12	21	30	49
4	11	20	23	38	41
4	6	27	33	40	43
2	21	24	41	42	47
1	13	17	21	44	45
2	3	6	11	42	49
3	15	22	25	29	30
2	8	29	32	40	44
1	6	12	15	21	36
6	16	40	41	46	49
11	26	32	39	43	47
13	18	21	35	36	45
10	15	25	31	42	47
5	10	15	16	38	41
1	19	24	29	35	42
